,Unnamed: 0,n,token,lemma,pos
169,169,1,πρίν,πρίν,d--------
170,170,2,ποτε,ποτε,g--------
171,171,3,λέκτρων,λέκτρον,n-p---ng-
172,172,4,",",",",u--------
173,173,5,ὧν,ὅς2,p-p---mg-
174,174,6,θέμις,θέμις,n-s---fn-
175,175,7,εἴργει,ἔργω,v3spia---
176,176,8,",",",",u--------
177,177,1,σφετεριξάμενοι,σφετερίζω,v-papmmn-
178,178,2,πατραδέλφειαν,πατραδέλφεια,n-s---fa-
179,179,1,τήνδʼ,ὅδε,d--------
180,180,2,ἀεκόντων,ἄκων2,a-p---ng-
181,181,3,ἐπιβῆναι,ἐπιβαίνω,v--ana---
182,182,4,.,.,u--------
183,183,1,Χορός,χορός,n-s---mn-
184,184,1,νῦν,νῦν,d--------
185,185,2,δʼ,δέ,g--------
186,186,3,ἐπικεκλομένα,ἐπικέλομαι,v-sapmfn-
187,187,1,Δῖον,Δῖος,a-s---ma-
188,188,2,πόρτιν,πόρτις,n-s---ma-
189,189,3,ὑπερ,,r--------
190,190,4,-,-,u--------
191,191,1,πόντιον,πόντιος,a-s---ma-
192,192,2,τιμάορʼ,τιμωρός,v3sasp---
193,193,3,",",",",u--------
194,194,4,ἶνίν,ἶνις,n-s---fa-
195,195,5,τʼ,σύ,l-s---fg-
196,196,1,ἀνθονομούσας,ἀνθονομέω,v-pppafa-
197,197,2,προγόνου,πρόγονος,a-s---fg-
198,198,1,βοὸς,βοῦς,n-s---fg-
199,199,2,ἐξ,ἐκ,r--------
200,200,3,ἐπιπνοίας,ἐπίπνοια,n-s---fg-
201,201,1,Ζηνὸς,Ζεύς,n-s---mg-
202,202,2,ἔφαψιν,ἔφαψις,n-s---fa-
203,203,3,·,·,u--------
204,204,4,ἐπωνυμίᾳ,ἐπωνυμία,n-s---fd-
205,205,5,δʼ,δέ,g--------
206,206,1,ἐπεκραίνετο,ἐπικραίνω,v3siie---
207,207,2,μόρσιμος,μόρσιμος,a-s---mn-
208,208,3,αἰὼν,αἰών,n-s---mn-
209,209,1,εὐλόγως,εὔλογος,d--------
210,210,2,",",",",u--------
211,211,1,Ἔπαφόν,Ἔπαφος,n-s---ma-
212,212,2,τʼ,σύ,p-s----g-
213,213,3,ἐγέννασεν,γεννάω,v3saia---
214,214,4,·,·,u--------
215,215,1,Χορός,χορός,n-s---mn-
216,216,1,ὅντʼ,ὅστε,d--------
217,217,2,ἐπιλεξαμένα,ἐπιλέγω,v-sapmfn-
218,218,3,",",",",u--------
219,219,1,νῦν,νῦν,d--------
220,220,2,ἐν,ἐν,r--------
221,221,3,ποιονόμοις,ποιονόμος,a-p---md-
222,222,1,ματρὸς,μήτηρ,n-s---fg-
223,223,2,ἀρχαίας,ἀρχαῖος,a-s---fg-
224,224,3,τόποις,τόπος,n-p---md-
225,225,4,τῶν,ὁ,l-p---mg-
226,226,1,πρόσθε,πρόσθεν,d--------
227,227,2,πόνων,πόνος,n-p---mg-
228,228,3,μνασαμένα,μιμνήσκω,v-sapmfn-
229,229,4,",",",",u--------
230,230,1,τά,ὅς,p-p---na-
231,231,2,τε,τε,g--------
232,232,3,νῦν,νῦν,d--------
233,233,4,ἐπιδείξω,ἐπιδείκνυμι,v1sasa---
234,234,1,πιστὰ,πιστός2,a-p---na-
235,235,2,τεκμήρια,τεκμήριον,n-p---na-
236,236,3,γαιονόμοις,γαιονόμος,a-p---md-
237,237,4,",",",",u--------
238,238,1,τὰ,ὅς,p-p---nn-
239,239,2,δʼ,δέ,g--------
240,240,3,ἄελπτά,ἄελπτος,a-p---nn-
241,241,4,περ,περ,g--------
242,242,5,ὄντα,εἰμί,v-sppama-
243,243,6,φανεῖται,φαίνω,v3sfim---
244,244,7,.,.,u--------
245,245,1,γνώσεται,γιγνώσκω,v3sfim---
246,246,1,δὲ,δέ,g--------
247,247,2,λόγους,λόγος,n-p---ma-
248,248,3,τις,τις,p-s---mn-
249,249,4,ἐν,ἐν,r--------
250,250,5,μάκει,μῆκος,n-s---nd-
251,251,6,.,.,u--------
252,252,1,Χορός,χορός,d--------
253,253,1,εἰ,εἰ,c--------
254,254,2,δὲ,δέ,g--------
255,255,3,κυρεῖ,κυρέω,v3spia---
256,256,4,τις,τις,p-s---mn-
257,257,5,πέλας,πέλας,d--------
258,258,6,οἰωνοπόλων,οἰωνοπόλος,n-p---mg-
259,259,1,ἔγγαιος,ἔγγειος,a-s---mn-
260,260,2,οἶκτον,οἶκτος,n-s---ma-
261,261,3,οἰκτρὸν,οἰκτρός,a-s---ma-
262,262,4,ἀίων,ἀΐω,v-sppamn-
263,263,5,",",",",u--------
264,264,1,δοξάσει,δοξάζω,v3sfia---
265,265,2,τις,τις,p-s---mn-
266,266,3,ἀκούειν,ἀκούω,v--pna---
267,267,4,ὄπα,ὄψ,n-s---fa-
268,268,5,τᾶς,ὁ,---------
269,269,6,Τηρεΐας,Τηρέϊος,a-s---fg-
270,270,1,Μήτιδος,μῆτις,n-s---fg-
271,271,2,οἰκτρᾶς,οἰκτρός,a-s---fg-
272,272,3,ἀλόχου,ἄλοχος,n-s---fg-
273,273,4,",",",",u--------
274,274,1,κιρκηλάτου,κιρκήλατος,a-s---fg-
275,275,2,τʼ,σύ,r--------
276,276,3,ἀηδόνος,ἀηδών,n-s---fg-
277,277,4,",",",",u--------
278,278,1,Χορός,χορός,n-s---mn-
279,279,1,ἅτʼ,ἅτε,p-s---fg-
280,280,2,ἀπὸ,ἀπό,r--------
281,281,3,χλωρῶν,χλωρός,a-p---ng-
282,282,4,πετάλων,πέταλος,a-p---ng-
283,283,5,ἐργομένα,ἔργω,v-sppefn-
284,284,1,πενθεῖ,πενθέω,v3spia---
285,285,2,μὲν,μέν,g--------
286,286,3,οἶκτον,οἶκτος,n-s---ma-
287,287,4,ἠθέων,ἦθος,n-p---ng-
288,288,5,·,·,u--------
289,289,1,ξυντίθησι,συντίθημι,v3spia---
290,290,2,δὲ,δέ,g--------
291,291,3,παιδὸς,παῖς,n-s---mg-
292,292,4,μόρον,μόρος,n-s---ma-
293,293,5,",",",",u--------
294,294,6,ὡς,ὡς,d--------
295,295,7,αὐτοφόνως,αὐτοφόνος,d--------
296,296,1,ὤλετο,ὄλλυμι,v3sai----
297,297,2,πρὸς,πρός,r--------
298,298,3,χειρὸς,χείρ,n-s---fg-
299,299,4,ἕθεν,ἕ,p-s---fg-
300,300,1,δυσμάτορος,δυσμήτωρ,n-s---mg-
301,301,2,κότου,κότος,n-s---mg-
302,302,3,τυχών,τυγχάνω,v-sapamn-
303,303,4,·,·,u--------
304,304,1,Χορός,,n-s---mn-
305,305,1,τὼς,τώς,d--------
306,306,2,καὶ,καί,d--------
307,307,3,ἐγὼ,,p-s---fn-
308,308,4,φιλόδυρ,,v1sasm---
309,309,5,-,-,u--------
310,310,1,τος,,a-p---fn-
311,311,2,Ἰαονίοισι,Ἰαόνιος,a-p---md-
312,312,3,νόμοισι,νόμος,n-p---md-
313,313,1,δάπτω,δάπτω,v1spia---
314,314,2,τὰν,ὁ,l-s---fa-
315,315,3,ἁπαλὰν,ἁπαλός,a-s---fa-
316,316,1,Νειλοθερῆ,Νειλοθερής,a-s---fa-
317,317,2,παρειὰν,παρειά,n-s---fa-
318,318,1,ἀπειρόδακρύν,ἀπειρόδακρυς,a-s---ma-
319,319,2,τε,τε,g--------
320,320,3,καρδίαν,καρδία,n-s---fa-
321,321,4,.,.,u--------
322,322,1,γοεδνὰ,γοερός,a-p---na-
323,323,2,δʼ,δέ,g--------
324,324,3,ἀνθεμίζομαι,ἀνθεμίζομαι,v1spie---
325,325,1,δειμαίνουσα,δειμαίνω,v-sppafn-
326,326,2,φίλους,φίλος,a-p---ma-
327,327,3,",",",",u--------
328,328,4,τᾶσδε,ὅδε,p-s---fg-
329,329,5,φυγᾶς,φυγή,n-s---fg-
330,330,1,ἀερίας,ἀέριος,a-s---fg-
331,331,2,ἀπὸ,ἀπό,r--------
332,332,3,γᾶς,γῆ,n-s---fg-
333,333,1,εἴ,εἰ,c--------
334,334,2,τις,τις,p-s---mn-
335,335,3,ἐστὶ,εἰμί,v3spia---
336,336,4,κηδεμών,κηδεμών,n-s---mn-
337,337,5,.,.,u--------
338,338,1,Χορός,χορός,n-s---mn-
339,339,1,ἀλλά,ἀλλά,d--------
340,340,2,",",",",u--------
341,341,3,θεοὶ,θεός,n-p---mv-
342,342,4,γενέται,γενέτης,n-p---mv-
343,343,1,κλύετʼ,κλύω,v2pama---
344,344,2,εὖ,εὖ,d--------
345,345,3,τὸ,ὁ,l-s---na-
346,346,4,δίκαιον,δίκαιος,a-s---na-
347,347,5,ἰδόντες,ὁράω,v-papamn-
348,348,6,·,·,u--------
349,349,1,ἥβᾳ,ἥβη,n-s---fd-
350,350,2,μὴ,μή,d--------
351,351,3,τέλεον,τελέω,v3piia---
352,352,1,δόντες,δίδωμι,v-papamn-
353,353,2,ἔχειν,ἔχω,v--pna---
354,354,3,παρʼ,παρά,r--------
355,355,4,αἶσαν,αἶσα,n-s---fa-
356,356,5,",",",",u--------
357,357,1,ὕβριν,ὕβρις,n-s---fa-
358,358,2,δʼ,δέ,g--------
359,359,3,ἑτοίμως,ἑτοῖμος,d--------
360,360,4,στυγοῦντες,στυγέω,v-pppamn-
361,361,5,",",",",u--------
362,362,1,πέλοιτʼ,πέλω,p-p---fa-
363,363,2,ἂν,ἄν,g--------
364,364,3,ἔνδικοι,ἔνδικος,a-p---mn-
365,365,4,γάμοις,γάμος,n-p---md-
366,366,5,.,.,u--------
367,367,1,ἔστι,εἰμί,v3spia---
368,368,2,δὲ,δέ,g--------
369,369,3,κἀκ,ἐκ,r--------
370,370,4,πολέμου,πόλεμος,n-s---mg-
371,371,5,τειρομένοις,τείρω,v-pppemd-
372,372,1,βωμὸς,βωμός,n-s---mn-
373,373,2,ἀρῆς,ἀρή,n-s---fg-
374,374,3,φυγάσιν,φυγάς,n-p---md-
375,375,1,ῥῦμα,ῥῦμα,n-s---nn-
376,376,2,",",",",u--------
377,377,3,δαιμόνων,δαίμων,n-p---fg-
378,378,4,σέβας,σέβας,n-s---nn-
379,379,5,.,.,u--------
380,380,1,Χορός,χορός,n-s---mn-
381,381,1,εὖ,εὖ,d--------
382,382,2,δʼ,δέ,g--------
383,383,3,εἴη,ἐάω,v3siia---
384,384,4,Διόθεν,Ζεύς,d--------
385,385,5,παναληθῶς,παναληθής,d--------
386,386,6,.,.,u--------
387,387,1,Διὸς,Ζεύς,n-s---mg-
388,388,2,ἵμερος,ἵμερος,n-s---mn-
389,389,3,οὐκ,οὐ,d--------
390,390,4,εὐθήρατος,εὐθήρατος,a-s---mn-
391,391,5,ἐτύχθη,τεύχω,v3saip---
392,392,6,.,.,u--------
393,393,1,παντᾷ,πάντῃ,d--------
394,394,2,τοι,τοι,g--------
395,395,3,φλεγέθει,φλεγέθω,v3spia---
396,396,1,κἀν,εἰς,r--------
397,397,2,σκότῳ,σκότος,n-s---md-
398,398,3,μελαίνᾳ,μέλας,a-s---fd-
399,399,4,ξὺν,σύν,r--------
400,400,5,τύχᾳ,τύχη,n-s---fd-
401,401,1,μερόπεσσι,μέροψ,n-p---md-
402,402,2,λαοῖς,λαός,n-p---md-
403,403,3,.,.,u--------
404,404,1,Χορός,χορός,n-s---mn-
405,405,1,πίπτει,πίπτω,v3spia---
406,406,2,δʼ,δέ,g--------
407,407,3,ἀσφαλὲς,ἀσφαλής,a-s---na-
408,408,4,οὐδʼ,οὐδέ,v1slia---
409,409,5,ἐπὶ,ἐπί,r--------
410,410,6,νώτῳ,νῶτος,n-s---md-
411,411,7,",",",",u--------
412,412,1,κορυφᾷ,κορυφή,n-s---fd-
413,413,2,Διὸς,Ζεύς,n-s---mg-
414,414,3,εἰ,εἰ,c--------
415,415,4,κρανθῇ,κραίνω,v3sasp---
416,416,5,",",",",u--------
417,417,6,πρᾶγμα,πρᾶγμα,n-s---nn-
418,418,7,τέλειον,τέλειος,a-s---nn-
419,419,8,.,.,u--------
420,420,1,δαυλοὶ,δαυλός,a-p---mn-
421,421,2,γὰρ,γάρ,g--------
422,422,3,πραπίδων,πραπίδες,n-p---fg-
423,423,1,δάσκιοί,δάσκιος,a-p---fn-
424,424,2,τε,τε,g--------
425,425,3,τείνουσιν,τείνω,v3ppia---
426,426,4,πόροι,πόρος,n-p---mn-
427,427,1,κατιδεῖν,καθοράω,v--ana---
428,428,2,ἄφραστοι,ἄφραστος,a-p---mn-
429,429,3,.,.,u--------
430,430,1,Χορός,χορός,n-s---mn-
431,431,1,ἰάπτει,ἰάπτω,v3spia---
432,432,2,δʼ,δέ,g--------
433,433,3,ἐλπίδων,ἐλπίς,n-p---fg-
434,434,1,ἀφʼ,ἀπό,r--------
435,435,2,ὑψιπύργων,ὑψίπυργος,a-p---fg-
436,436,3,πανώλεις,πανώλης,a-p---ma-
437,437,1,βροτούς,βροτός,n-p---ma-
438,438,2,",",",",u--------
439,439,3,βίαν,βία,n-s---fa-
440,440,4,δʼ,δέ,g--------
441,441,1,οὔτινʼ,οὔτις,a-s---fa-
442,442,2,ἐξοπλίζει,ἐξοπλίζω,v3spia---
443,443,3,·,·,u--------
444,444,1,πᾶν,πᾶς,a-s---nn-
445,445,2,ἄπονον,ἄπονος,a-s---nn-
446,446,3,δαιμονίων,δαιμόνιον,n-p---ng-
447,447,4,.,.,u--------
448,448,1,ἥμενος,ἧμαι,v-srp-mn-
449,449,2,ὃν,ὅς2,p-s---na-
450,450,3,φρόνημά,φρόνημα,n-s---na-
451,451,4,πως,πως,g--------
452,452,1,αὐτόθεν,αὐτός,d--------
453,453,2,ἐξέπραξεν,ἐκπράσσω,v3saia---
454,454,3,ἔμπας,ἔμπας,d--------
455,455,1,ἑδράνων,ἕδρανον,n-p---ng-
456,456,2,ἐφʼ,ἐπί,l-p---ng-
457,457,3,ἁγνῶν,ἁγνός,a-p---ng-
458,458,4,.,.,u--------
459,459,1,Χορός,,n-s---mn-
460,460,1,ἰδέσθω,ὁράω,v3spme---
461,461,2,δʼ,δέ,g--------
462,462,3,εἰς,εἰς,r--------
463,463,4,ὕβριν,ὕβρις,n-s---fa-
464,464,1,βρότειον,βρότειος,a-s---ma-
465,465,2,",",",",u--------
466,466,3,οἵα,οἷος,a-s---fn-
467,467,4,νεάζει,νεάζω,v3spia---
468,468,1,πυθμὴν,πυθμήν,n-s---fa-
469,469,2,διʼ,διά,r--------
470,470,3,ἁ,ὁ,l-s---fn-
471,471,4,-,-,u--------
472,472,1,μὸν,,n-s---ma-
473,473,2,γάμον,γάμος,n-s---ma-
474,474,3,τεθαλὼς,θάλλω,v-srpamn-
475,475,1,δυσπαραβούλοισι,δυσπαράβουλος,a-p---fd-
476,476,2,φρεσίν,φρήν,n-p---fd-
477,477,3,",",",",u--------
478,478,1,καὶ,καί,c--------
479,479,2,διάνοιαν,διάνοια,n-s---fa-
480,480,3,μαινόλιν,μαινόλης,n-s---fa-
481,481,1,κέντρον,κέντρον,n-s---na-
482,482,2,ἔχων,ἔχω,v-sppamn-
483,483,3,ἄφυκτον,ἄφυκτος,a-s---na-
484,484,4,",",",",u--------
485,485,5,ἄταν,ἄτη,n-s---fa-
486,486,6,δʼ,δέ,g--------
487,487,1,ἀπάτᾳ,ἀπάτη,n-s---fd-
488,488,2,μεταγνούς,μεταγιγνώσκω,a-p---ma-
489,489,3,.,.,u--------
490,490,1,Χορός,χορός,n-s---mn-
491,491,1,τοιαῦτα,τοιοῦτος,a-p---na-
492,492,2,πάθεα,πάθος,n-p---na-
493,493,3,μέλεα,μέλεος,a-p---na-
494,494,4,θρεομένα,θρέομαι,v-sppefn-
495,495,5,λέγω,λέγω,v1spia---
496,496,1,λιγέα,λιγύς,a-p---na-
497,497,2,βαρέα,βαρύς,a-p---na-
498,498,3,δακρυοπετῆ,δακρυοπετής,a-p---na-
499,499,4,",",",",u--------
500,500,1,ἰὴ,ἰή,i--------
501,501,2,ἰή,ἰή,i--------
502,502,3,",",",",u--------
503,503,1,ἰηλέμοισιν,ἰάλεμος,n-p---md-
504,504,2,ἐμπρεπῆ,ἐμπρεπής,a-p---na-
505,505,3,·,·,u--------
506,506,4,θρεομένη,θρέομαι,v-sppefn-
507,507,5,μέλη,μέλη,n-s---fn-
508,508,1,ζῶσα,ζήω,v-sppafn-
509,509,2,γόοις,γόος,n-p---md-
510,510,3,με,ἐγώ,p-s---ma-
511,511,4,τιμῶ,τιμάω,v2spme---
512,512,5,.,.,u--------
513,513,1,Χορός,χορός,n-s---mn-
514,514,1,ἱλεοῦμαι,ἱλάομαι,v1spie---
515,515,2,μὲν,μέν,g--------
516,516,3,Ἀπίαν,ἄπιος2,a-s---fa-
517,517,4,βοῦνιν,βοῦνις,n-s---fa-
518,518,5,",",",",u--------
519,519,1,καρβᾶνα,κάρβανος,a-s---fa-
520,520,2,δʼ,δέ,g--------
521,521,3,αὐδὰν,αὐδή,n-s---fa-
522,522,1,εὖ,εὖ,d--------
523,523,2,",",",",u--------
524,524,3,γᾶ,γῆ,n-s---fv-
525,525,4,",",",",u--------
526,526,5,κοννεῖς,κοννέω,v2spia---
527,527,6,.,.,u--------
528,528,1,πολλάκι,πολλάκις,d--------
529,529,2,δʼ,δέ,g--------
530,530,3,ἐμπίτνω,ἐμπίπτω,v1spsa---
531,531,4,ξὺν,σύν,r--------
532,532,5,λακίδι,λακίς,n-s---fd-
533,533,1,λινοσινεῖ,λινοσινής,a-s---fd-
534,534,1,Σιδονία,Σιδόνιος,a-s---fd-
535,535,2,καλύπτρᾳ,καλύπτρα,n-s---fd-
536,536,3,.,.,u--------
537,537,1,Χορός,χορός,n-s---mn-
538,538,1,θεοῖς,θεός,n-p---md-
539,539,2,δʼ,δέ,g--------
540,540,3,ἐναγέα,ἐναγής,a-p---na-
541,541,4,τέλεα,τέλος,n-p---na-
542,542,5,πελομένων,πέλω,v-pppemg-
543,543,6,καλῶς,καλός,d--------
544,544,1,ἐπίδρομʼ,ἐπίδρομος,v-papamd-
545,545,2,",",",",u--------
546,546,3,ὁπόθι,ὁπόθι,d--------
547,547,4,θάνατος,θάνατος,n-s---mn-
548,548,5,ἀπῇ,ἄπειμι,v3spsa---
549,549,6,.,.,u--------
550,550,1,ἰὼ,ἰώ,i--------
551,551,2,ἰώ,ἰώ,i--------
552,552,3,",",",",u--------
553,553,1,ἰὼ,ἰώ,i--------
554,554,2,δυσάγκριτοι,δυσανάκριτος,a-p---mn-
555,555,3,πόνοι,πόνος,n-p---mn-
556,556,4,.,.,u--------
557,557,1,ποῖ,ποῖ,d--------
558,558,2,τόδε,ὅδε,p-s---nn-
559,559,3,κῦμʼ,κῦμα,p-s---nn-
560,560,4,ἀπάξει,ἀπάγω,v3sfia---
561,561,5,;,;,u--------
562,562,1,Χορός,χορός,n-s---mn-
563,563,1,ἱλεοῦμαι,ἱλάομαι,v1spie---
564,564,2,μὲν,μέν,g--------
565,565,3,Ἀπίαν,ἄπιος2,a-s---fa-
566,566,4,βοῦνιν,βοῦνις,n-s---fa-
567,567,5,",",",",u--------
568,568,1,καρβᾶνα,κάρβανος,a-s---fa-
569,569,2,δʼ,δέ,g--------
570,570,3,αὐδὰν,αὐδή,n-s---fa-
571,571,1,εὖ,εὖ,d--------
572,572,2,",",",",u--------
